som_size,learning_rate,sigma,workload_pattern,avg_response_time,avg_utilization,load_variance,rejection_rate,load_balance_score,performance_score,execution_time,load_distribution
"(6, 6)",0.5,2.5,bursty,0.27044420042446615,0.5495828204077602,0.04090553560246436,0.8,0.03190417248317208,0.3956256957111671,0.024686574935913086,"[20, 19, 24, 34, 40, 91, 96, 76]"
"(6, 6)",0.5,2.5,periodic,0.2262411684215882,0.5210313921052875,0.02966628819226365,0.79,0.03140072975315556,0.4002765773848148,0.019860267639160156,"[44, 14, 24, 38, 27, 113, 79, 61]"
"(6, 6)",0.7,1.0,mixed,0.24124634132924977,0.4225421290431861,0.0756222874018926,0.845,0.029140362937705465,0.3659430899958765,0.021058082580566406,"[10, 17, 22, 22, 75, 71, 84, 99]"
"(6, 6)",0.7,1.0,bursty,0.22718936649430302,0.42882864779081464,0.07047818851877799,0.8075,0.02138818693951416,0.37514323475830147,0.021899700164794922,"[7, 13, 26, 50, 15, 124, 128, 37]"
"(6, 6)",0.7,1.0,periodic,0.28727833446880596,0.5632083006212528,0.02243786478189622,0.83,0.03199682692350198,0.3892905405235353,0.02099323272705078,"[15, 6, 24, 65, 56, 54, 92, 88]"
"(6, 6)",0.7,1.5,mixed,0.20958014431614308,0.392290295213993,0.094368819774499,0.8275,0.03219753654335543,0.3706372642895386,0.018083572387695312,"[15, 19, 20, 45, 42, 81, 84, 94]"
"(6, 6)",0.7,1.5,bursty,0.2401348307165882,0.429509190102808,0.08135819998105419,0.83,0.02748490169936712,0.3700564885399766,0.015118837356567383,"[21, 8, 8, 43, 50, 80, 113, 77]"
"(6, 6)",0.7,1.5,periodic,0.2725205337495732,0.5205178384159035,0.03349682985387421,0.86,0.02842255183749415,0.37638291407179153,0.019767284393310547,"[7, 9, 32, 68, 37, 51, 84, 112]"
"(6, 6)",0.7,2.0,mixed,0.2365236928899053,0.48455251840423164,0.05443767104013283,0.835,0.030139377302472854,0.3815679672833193,0.014662027359008789,"[6, 27, 19, 49, 33, 84, 96, 86]"
"(6, 6)",0.7,2.0,bursty,0.24016552472565142,0.4753369201176566,0.0478362352509179,0.8325,0.02069053446384078,0.376677737137185,0.016340017318725586,"[14, 24, 10, 16, 46, 53, 75, 162]"
"(6, 6)",0.7,2.0,periodic,0.2753931290011854,0.5574259747527466,0.02780305374640227,0.795,0.02994371712527432,0.39668990034002727,0.01991724967956543,"[16, 12, 19, 33, 72, 64, 79, 105]"
"(6, 6)",0.7,2.5,mixed,0.20719365488558594,0.38043192344155513,0.09866222004402611,0.875,0.027860824204468396,0.3579548844562662,0.02309250831604004,"[15, 10, 17, 32, 62, 112, 85, 67]"
"(6, 6)",0.7,2.5,bursty,0.24614304920934305,0.4967184481526338,0.042756208329790255,0.84,0.028000921856660765,0.3804867927758087,0.023551464080810547,"[7, 18, 24, 33, 61, 117, 84, 56]"
"(6, 6)",0.7,2.5,periodic,0.2500252679419339,0.5174526635698464,0.04171676761152868,0.7925,0.029905734284534784,0.3939574016525452,0.021570444107055664,"[41, 16, 42, 20, 22, 102, 102, 55]"
"(8, 8)",0.1,1.0,mixed,0.2506295451598137,0.5595151935284945,0.028176045548161176,0.8275,0.07462911140842712,0.40867096030274275,0.021828651428222656,"[58, 51, 67, 50, 63, 37, 27, 47]"
"(8, 8)",0.1,1.0,bursty,0.28718080195919404,0.571812535931755,0.023910793827117256,0.815,0.04318065266563334,0.39738419400468855,0.020550251007080078,"[75, 40, 71, 70, 69, 31, 16, 28]"
"(8, 8)",0.1,1.0,periodic,0.2937655866528057,0.5701458776599981,0.030731841319884084,0.7825,0.03595289046738697,0.40019630701790887,0.02435588836669922,"[41, 62, 44, 106, 71, 21, 33, 22]"
"(8, 8)",0.1,1.5,mixed,0.22464366047721773,0.4704302917380212,0.08324118498435445,0.8,0.03145280356856758,0.3884911175522857,0.025591373443603516,"[51, 105, 25, 15, 13, 46, 60, 85]"
